Origin_DH,Origin_Code,Dest_DH,Dest_Code,Distance_km,Time_mins
BLR-DRY-MH-SUMADHURA,MH_CODE,BLR-Whitefield New,BLR262S,25.836641250000003,30.713562500000002
BLR-DRY-MH-SUMADHURA,MH_CODE,BLR-JP Nagar Network-2,BLR108S,47.9780889,58.967062500000004
BLR-DRY-MH-SUMADHURA,MH_CODE,BLR-Banjara Layout,BLR150S,28.593965400000002,34.38302083333333
BLR-DRY-MH-SUMADHURA,MH_CODE,BLR-Yelahanka Network,BLR120S,46.229106,58.046687500000004
BLR-DRY-MH-SUMADHURA,MH_CODE,BLR-HEBBAL NEW,BLR033S,35.623750050000005,45.57304166666667
BLR-DRY-MH-SUMADHURA,MH_CODE,BLR-Kannika Nagar,BLR116S,53.882586450000005,69.86672916666666
BLR-DRY-MH-SUMADHURA,MH_CODE,BLR-CV RAMAN NAGAR NEW,BLR091S,31.9170747,37.0815
BLR-DRY-MH-SUMADHURA,MH_CODE,BLR-Sanjaynagar,BLR190S,42.390096,51.20125
BLR-DRY-MH-SUMADHURA,MH_CODE,BLR-GUNJUR Network,BLR017S,31.1624019,37.394083333333334
BLR-DRY-MH-SUMADHURA,MH_CODE,BLR-Kannamangala,BLR014S,20.236949250000002,23.422833333333337
BLR-DRY-MH-SUMADHURA,MH_CODE,BLR-Shivaji nagar New,BLR275S,35.8155273,41.56554166666667
BLR-DRY-MH-SUMADHURA,MH_CODE,BLR-Belathur,BLR189S,23.329887,27.482333333333333
BLR-DRY-MH-SUMADHURA,MH_CODE,BLR-Kasturinagar,BLR177S,29.1878391,33.431000000000004
BLR-DRY-MH-SUMADHURA,MH_CODE,BLR-Mathikere,BLR140S,44.053981650000004,52.8154375
BLR-DRY-MH-SUMADHURA,MH_CODE,BLR-JP Nagar New,BLR265S,46.94622975,58.50020833333333
BLR-DRY-MH-SUMADHURA,MH_CODE,BLR-Dasarahalli,BLR131S,37.33877595,47.30202083333333
BLR-DRY-MH-SUMADHURA,MH_CODE,BLR-Nagdevanahalli,FB_CODE,50.97618435000001,65.6701875
BLR-DRY-MH-SUMADHURA,MH_CODE,BLR-BANNERGHATTA,BLR056S,48.2050842,58.67310416666666
BLR-DRY-MH-SUMADHURA,MH_CODE,BLR-Cholayanakanalli,BLR212S,38.78855085,49.51983333333334
BLR-Jakkur New,BLR230S,BLR-DRY-MH-SUMADHURA,MH_CODE,39.76169505000001,49.316541666666666
BLR-Jakkur New,BLR230S,BLR-Jakkur New,BLR230S,0.0,0.0
BLR-Jakkur New,BLR230S,BLR-Brookfield Network-2,BLR129S,19.12171695,27.7085625
BLR-Jakkur New,BLR230S,BLR-Electronic City New,BLR099S,34.445399099999996,49.602875
BLR-Jakkur New,BLR230S,BLR-Murugeshpalya,BLR315S,18.668343750000002,26.819020833333333
BLR-Jakkur New,BLR230S,BLR-Marathahalli New,BLR055S,24.612634200000002,35.15270833333333
BLR-Jakkur New,BLR230S,BLR-Doddathoguru,BLR306S,23.3909928,33.4793125
BLR-Jakkur New,BLR230S,BLR-KALYAN NAGAR NEW,BLR034S,9.681837900000001,14.886208333333332
BLR-Jakkur New,BLR230S,BLR-Garudachar Palya,FB_CODE,19.050969000000002,28.8119375
BLR-Jakkur New,BLR230S,BLR-Kadugodi,BLR162S,22.33207725,31.772895833333333
BLR-Jakkur New,BLR230S,BLR-Singapura,BLR128S,11.6902842,19.589125
BLR-Jakkur New,BLR230S,BLR-Sattava East,BLR137S,21.184807350000003,29.890854166666667
BLR-Jakkur New,BLR230S,BLR-Narayanapura Network,BLR122S,4.975910100000001,7.227020833333333
BLR-Jakkur New,BLR230S,BLR-BHADRAPPA LAYOUT NETWORK,BLR028S,4.7088594,7.0933125
BLR-Jakkur New,BLR230S,BLR-HBR Layout,BLR022S,4.98208305,7.836666666666666
BLR-Jakkur New,BLR230S,BLR-Hennur New,BLR229S,7.20093675,11.344958333333333
BLR-Jakkur New,BLR230S,BLR-Margosa road,BLR139S,12.0801282,18.165916666666668
BLR-Jakkur New,BLR230S,BLR-TC Palaya,BLR220S,13.537172250000001,20.3455625
BLR-Jakkur New,BLR230S,BLR-Yelahanka new town New,BLR298S,10.11979815,14.737729166666666
BLR-Jakkur New,BLR230S,BLR-RAMAMURTHY NAGAR NEW,BLR075S,13.667544450000001,19.142833333333332
BLR-Jakkur New,BLR230S,BLR-Goraguntepalya,BLR199S,13.252479450000001,20.985354166666667
BLR-Jakkur New,BLR230S,BLR-Budigere Cross,BLR027S,19.878798449999998,28.167479166666666
BLR-Jakkur New,BLR230S,BLR-Marathahalli-3,BLR103S,23.875753649999996,34.271812499999996
BLR-Jakkur New,BLR230S,BLR-Mico layout network-2,BLR102S,24.099667200000003,35.546645833333336
BLR-Jakkur New,BLR230S,BLR-BROOKEFIELD,BLR086S,19.17992895,28.31864583333333
BLR-Jakkur New,BLR230S,BLR-SHIVAJI NAGAR Network,BLR107S,9.42886245,13.80425
BLR-Jakkur New,BLR230S,BLR-BTM-2,BLR043S,22.1958093,32.04691666666667
BLR-Jakkur New,BLR230S,BLR-Siddapura,BLR224S,25.197921,35.5790625
BLR-Jakkur New,BLR230S,BLR-GUNJUR,BLR087S,29.748650400000002,40.9093125
BLR-Jakkur New,BLR230S,BLR-Varthur,BLR313S,28.24400985,40.249625
BLR-Jakkur New,BLR230S,BLR-Kalyan Nagar Network,BLR059S,8.3460594,12.2753125
BLR-Jakkur New,BLR230S,BLR-Chickpet New,BLR175S,16.2551697,24.260916666666667
BLR-Jakkur New,BLR230S,BLR-Vidyaranyapura,BLR130S,8.0797773,13.925270833333334
BLR-Jakkur New,BLR230S,BLR-JC Nagar,BLR127S,17.0030322,24.1651875
BLR-Jakkur New,BLR230S,BLR-Bannerghatta Network 2,BLR061S,29.805321000000003,42.1374375
BLR-Jakkur New,BLR230S,BLR-Tippenahalli,BLR311S,19.65271455,27.677604166666665
BLR-Jakkur New,BLR230S,BLR-Kogilu Road,BLR154S,9.024693300000001,12.363249999999999
BLR-Jakkur New,BLR230S,BLR-Narayanapura,BLR026S,6.1128564,8.9366875
BLR-Jakkur New,BLR230S,BLR-Nikoo Home New,BLR119S,7.435919400000001,11.070416666666667
BLR-Jakkur New,BLR230S,BLR-Nagavara,BLR200S,4.02132045,6.829854166666667
BLR-Jakkur New,BLR230S,BLR-HSR-3,BLR080S,24.145882950000004,36.192770833333334
BLR-Jakkur New,BLR230S,BLR-Challakere,BLR123S,7.665639450000001,12.0666875
BLR-Jakkur New,BLR230S,BLR - Bhadrappa Layout,BLR042S,6.419097300000001,9.485854166666666
BLR-Jakkur New,BLR230S,BLR-Abbigere,BLR151S,15.0265122,21.679770833333333
BLR-Jakkur New,BLR230S,BLR-Aswath Nagar,BLR304S,22.21616355,32.39270833333333
BLR-Jakkur New,BLR230S,BLR-Yallapa Garden,BLR125S,17.97000975,24.763645833333335
BLR-Jakkur New,BLR230S,BLR-Dooravani Nagar,BLR227S,11.0710866,17.012458333333335
BLR-Jakkur New,BLR230S,BLR-Doddanekundi,FB_CODE,18.5894415,29.471458333333334
BLR-Jakkur New,BLR230S,BLR-Nehru Nagar,BLR155S,4.49714055,7.243145833333333
BLR-Jakkur New,BLR230S,BLR-Hegganahalli,BLR264S,17.8266396,27.62170833333333
BLR-Jakkur New,BLR230S,BLR-VIJAY NAGAR,BLR031S,20.148984449999997,27.103770833333336
BLR-Jakkur New,BLR230S,BLR-INDIRANAGAR NEW,BLR044S,16.37738865,25.0775625
BLR-Jakkur New,BLR230S,BLR-HSR Layout New,BLR094S,23.79520605,35.2338125
BLR-Jakkur New,BLR230S,BLR-Banashankari New,BLR041S,21.6947619,31.341770833333335
BLR-Jakkur New,BLR230S,BLR-Richmond Town Network,BLR296S,16.84579995,26.223916666666668
BLR-Jakkur New,BLR230S,BLR-BTM LAYOUT NEW,BLR036S,20.837554500000003,30.41904166666667
BLR-Jakkur New,BLR230S,BLR-Ramamurthy Nagar Network,BLR071S,9.584421,15.1016875
BLR-Jakkur New,BLR230S,BLR-Jayanagar 9th block,BLR307S,20.366333400000002,30.00525
BLR-Jakkur New,BLR230S,BLR-Malleshwaram new,BLR045S,16.53451485,23.21829166666667
BLR-Jakkur New,BLR230S,BLR-Marathahalli 2,BLR023S,19.70577315,31.626583333333333
BLR-Jakkur New,BLR230S,BLR-BASAVANAPURA NETWORK 2,BLR104S,16.573152750000002,23.008854166666666
BLR-Jakkur New,BLR230S,BLR-Devanahalli,BLR149S,29.582021700000002,36.161625
BLR-Jakkur New,BLR230S,BLR-RWF Yelahanka,BLR187S,7.359236849999999,10.604270833333334
BLR-Jakkur New,BLR230S,BLR-Seegehalli,BLR238S,19.59348615,27.605833333333333
BLR-Jakkur New,BLR230S,BLR-Bagalur,BLR105S,10.2940404,14.719
BLR-Jakkur New,BLR230S,BLR-Magadi Road,BLR109S,22.597244250000003,33.41972916666667
BLR-Jakkur New,BLR230S,BLR-JP Nagar Network,BLR013S,22.68830865,31.182958333333332
BLR-Jakkur New,BLR230S,BLR-Jakkur Network,BLR058S,2.9641710000000003,5.075291666666667
BLR-Jakkur New,BLR230S,BLR-Kothnur New,BLR257S,26.970804,38.3415
BLR-Jakkur New,BLR230S,BLR-RICHMOND TOWN,BLR077S,15.07387875,23.827020833333332
BLR-Jakkur New,BLR230S,BLR-Whitefield New,BLR262S,24.86587425,35.210625
BLR-Jakkur New,BLR230S,BLR-JP Nagar Network-2,BLR108S,25.2525021,36.465333333333334
BLR-Jakkur New,BLR230S,BLR-Banjara Layout,BLR150S,9.8965839,15.706500000000002
BLR-Jakkur New,BLR230S,BLR-Yelahanka Network,BLR120S,11.38396665,15.111625
BLR-Jakkur New,BLR230S,BLR-HEBBAL NEW,BLR033S,4.53126555,7.665333333333333
BLR-Jakkur New,BLR230S,BLR-Kannika Nagar,BLR116S,40.934055750000006,56.66479166666667
BLR-Jakkur New,BLR230S,BLR-CV RAMAN NAGAR NEW,BLR091S,16.76526285,26.30691666666667
BLR-Jakkur New,BLR230S,BLR-Sanjaynagar,BLR190S,8.601863550000001,14.708145833333333
BLR-Jakkur New,BLR230S,BLR-GUNJUR Network,BLR017S,27.3484827,38.93689583333333
BLR-Jakkur New,BLR230S,BLR-Kannamangala,BLR014S,23.6902848,33.958687499999996
BLR-Jakkur New,BLR230S,BLR-Shivaji nagar New,BLR275S,11.5748787,16.5650625
BLR-Jakkur New,BLR230S,BLR-Belathur,BLR189S,22.2528474,32.70433333333334
BLR-Jakkur New,BLR230S,BLR-Kasturinagar,BLR177S,12.2380839,18.2763125
BLR-Jakkur New,BLR230S,BLR-Mathikere,BLR140S,11.1108354,16.293541666666666
BLR-Jakkur New,BLR230S,BLR-JP Nagar New,BLR265S,23.8926492,35.156395833333335
BLR-Jakkur New,BLR230S,BLR-Dasarahalli,BLR131S,2.42728605,4.307666666666667
BLR-Jakkur New,BLR230S,BLR-Nagdevanahalli,FB_CODE,26.7530487,39.9205
BLR-Jakkur New,BLR230S,BLR-BANNERGHATTA,BLR056S,26.609494800000004,37.499854166666665
BLR-Jakkur New,BLR230S,BLR-Cholayanakanalli,BLR212S,6.92602575,11.226520833333334
BLR-Brookfield Network-2,BLR129S,BLR-DRY-MH-SUMADHURA,MH_CODE,28.660082850000002,33.4978125
BLR-Brookfield Network-2,BLR129S,BLR-Jakkur New,BLR230S,19.38785205,28.94139583333333
BLR-Brookfield Network-2,BLR129S,BLR-Brookfield Network-2,BLR129S,0.0,0.0
BLR-Brookfield Network-2,BLR129S,BLR-Electronic City New,BLR099S,26.488408800000002,40.77891666666667
BLR-Brookfield Network-2,BLR129S,BLR-Murugeshpalya,BLR315S,12.851889750000002,18.278645833333332
BLR-Brookfield Network-2,BLR129S,BLR-Marathahalli New,BLR055S,8.0302047,11.543270833333333
BLR-Brookfield Network-2,BLR129S,BLR-Doddathoguru,BLR306S,5.1462264,7.708333333333334
BLR-Brookfield Network-2,BLR129S,BLR-KALYAN NAGAR NEW,BLR034S,10.65887865,14.686854166666667
BLR-Brookfield Network-2,BLR129S,BLR-Garudachar Palya,FB_CODE,1.66660935,3.6758958333333336
BLR-Brookfield Network-2,BLR129S,BLR-Kadugodi,BLR162S,4.08731085,6.001916666666666
BLR-Brookfield Network-2,BLR129S,BLR-Singapura,BLR128S,30.8894229,40.97670833333333
BLR-Brookfield Network-2,BLR129S,BLR-Sattava East,BLR137S,10.116474899999998,14.193729166666667
BLR-Brookfield Network-2,BLR129S,BLR-Narayanapura Network,BLR122S,18.0312153,25.749791666666667
BLR-Brookfield Network-2,BLR129S,BLR-BHADRAPPA LAYOUT NETWORK,BLR028S,21.4198677,31.8950625
BLR-Brookfield Network-2,BLR129S,BLR-HBR Layout,BLR022S,14.950058550000001,22.342020833333333
BLR-Brookfield Network-2,BLR129S,BLR-Hennur New,BLR229S,13.10256885,20.109229166666665
BLR-Brookfield Network-2,BLR129S,BLR-Margosa road,BLR139S,20.63401305,27.867916666666666
BLR-Brookfield Network-2,BLR129S,BLR-TC Palaya,BLR220S,7.1269023,11.151416666666666
BLR-Brookfield Network-2,BLR129S,BLR-Yelahanka new town New,BLR298S,29.53358835,43.102875000000004
BLR-Brookfield Network-2,BLR129S,BLR-RAMAMURTHY NAGAR NEW,BLR075S,8.33868735,13.096375
BLR-Brookfield Network-2,BLR129S,BLR-Goraguntepalya,BLR199S,25.56250725,34.55975
BLR-Brookfield Network-2,BLR129S,BLR-Budigere Cross,BLR027S,12.4227159,15.956312500000001
BLR-Brookfield Network-2,BLR129S,BLR-Marathahalli-3,BLR103S,7.21007385,11.872895833333333
BLR-Brookfield Network-2,BLR129S,BLR-Mico layout network-2,BLR102S,22.29449985,30.099958333333333
BLR-Brookfield Network-2,BLR129S,BLR-BROOKEFIELD,BLR086S,1.99586205,3.8013541666666666
BLR-Brookfield Network-2,BLR129S,BLR-SHIVAJI NAGAR Network,BLR107S,16.52867265,21.6499375
BLR-Brookfield Network-2,BLR129S,BLR-BTM-2,BLR043S,22.4029008,30.349083333333336
BLR-Brookfield Network-2,BLR129S,BLR-Siddapura,BLR224S,7.144125450000001,11.649562499999998
BLR-Brookfield Network-2,BLR129S,BLR-GUNJUR,BLR087S,11.50388505,15.138333333333334
BLR-Brookfield Network-2,BLR129S,BLR-Varthur,BLR313S,9.9992445,14.478645833333331
BLR-Brookfield Network-2,BLR129S,BLR-Kalyan Nagar Network,BLR059S,13.218546600000002,18.153312500000002
BLR-Brookfield Network-2,BLR129S,BLR-Chickpet New,BLR175S,19.83963345,27.667729166666668
BLR-Brookfield Network-2,BLR129S,BLR-Vidyaranyapura,BLR130S,27.6440976,37.78966666666667
BLR-Brookfield Network-2,BLR129S,BLR-JC Nagar,BLR127S,25.065975899999998,33.7745
BLR-Brookfield Network-2,BLR129S,BLR-Bannerghatta Network 2,BLR061S,27.35094915,38.92304166666666
BLR-Brookfield Network-2,BLR129S,BLR-Tippenahalli,BLR311S,32.2323036,43.360479166666664
BLR-Brookfield Network-2,BLR129S,BLR-Kogilu Road,BLR154S,22.4149065,31.905812500000003
BLR-Brookfield Network-2,BLR129S,BLR-Narayanapura,BLR026S,15.921512250000001,23.635645833333335
BLR-Brookfield Network-2,BLR129S,BLR-Nikoo Home New,BLR119S,19.055217300000002,28.220020833333336
BLR-Brookfield Network-2,BLR129S,BLR-Nagavara,BLR200S,16.01832015,24.04779166666667
BLR-Brookfield Network-2,BLR129S,BLR-HSR-3,BLR080S,18.040405950000004,28.218979166666664
BLR-Brookfield Network-2,BLR129S,BLR-Challakere,BLR123S,12.134348100000002,17.2351875
BLR-Brookfield Network-2,BLR129S,BLR - Bhadrappa Layout,BLR042S,20.5536009,30.707729166666667
BLR-Brookfield Network-2,BLR129S,BLR-Abbigere,BLR151S,30.18469755,41.205333333333336
BLR-Brookfield Network-2,BLR129S,BLR-Aswath Nagar,BLR304S,8.2395768,12.441229166666668
BLR-Brookfield Network-2,BLR129S,BLR-Yallapa Garden,BLR125S,23.866784550000002,31.136374999999997
BLR-Brookfield Network-2,BLR129S,BLR-Dooravani Nagar,BLR227S,8.711094000000001,12.658895833333332
BLR-Brookfield Network-2,BLR129S,BLR-Doddanekundi,FB_CODE,6.4938636,10.094166666666666
BLR-Brookfield Network-2,BLR129S,BLR-Nehru Nagar,BLR155S,23.454252150000002,34.206604166666665
BLR-Brookfield Network-2,BLR129S,BLR-Hegganahalli,BLR264S,30.617087550000004,41.753625
BLR-Brookfield Network-2,BLR129S,BLR-VIJAY NAGAR,BLR031S,24.042551400000004,33.347875
BLR-Brookfield Network-2,BLR129S,BLR-INDIRANAGAR NEW,BLR044S,12.6375627,17.4731875
BLR-Brookfield Network-2,BLR129S,BLR-HSR Layout New,BLR094S,16.7837943,26.338104166666664
BLR-Brookfield Network-2,BLR129S,BLR-Banashankari New,BLR041S,24.936764999999998,34.84320833333334
BLR-Brookfield Network-2,BLR129S,BLR-Richmond Town Network,BLR296S,16.389083550000002,23.891437500000002
BLR-Brookfield Network-2,BLR129S,BLR-BTM LAYOUT NEW,BLR036S,20.7666144,26.85725
BLR-Brookfield Network-2,BLR129S,BLR-Ramamurthy Nagar Network,BLR071S,10.947282150000001,15.700812500000001
BLR-Brookfield Network-2,BLR129S,BLR-Jayanagar 9th block,BLR307S,21.4919922,29.354312500000002
BLR-Brookfield Network-2,BLR129S,BLR-Malleshwaram new,BLR045S,22.36621275,29.805895833333334
BLR-Brookfield Network-2,BLR129S,BLR-Marathahalli 2,BLR023S,7.610195250000001,12.249291666666666
BLR-Brookfield Network-2,BLR129S,BLR-BASAVANAPURA NETWORK 2,BLR104S,6.867483000000001,11.318
BLR-Brookfield Network-2,BLR129S,BLR-Devanahalli,BLR149S,35.84468475,43.91916666666667
BLR-Brookfield Network-2,BLR129S,BLR-RWF Yelahanka,BLR187S,26.773026,38.96941666666667
BLR-Brookfield Network-2,BLR129S,BLR-Seegehalli,BLR238S,5.4030375,8.793166666666666
BLR-Brookfield Network-2,BLR129S,BLR-Bagalur,BLR105S,25.39394445,35.0794375
BLR-Brookfield Network-2,BLR129S,BLR-Magadi Road,BLR109S,32.0365206,43.145125
BLR-Brookfield Network-2,BLR129S,BLR-JP Nagar Network,BLR013S,25.7079543,34.451166666666666
BLR-Brookfield Network-2,BLR129S,BLR-Jakkur Network,BLR058S,18.52293345,27.22570833333333
